group,id,input,measure
Compiled vs Interpreted,Compiled,1000000,76041178.0
Compiled vs Interpreted,Compiled,1000000,73079255.66666667
Compiled vs Interpreted,Compiled,1000000,72626396.75
Compiled vs Interpreted,Compiled,1000000,72542656.5
Compiled vs Interpreted,Compiled,1000000,72419090.33333333
Compiled vs Interpreted,Compiled,1000000,72564873.42857143
Compiled vs Interpreted,Compiled,1000000,72482135.375
Compiled vs Interpreted,Compiled,1000000,72473399.22222222
Compiled vs Interpreted,Compiled,1000000,72600864.65
Compiled vs Interpreted,Compiled,1000000,72646207.0909091
Compiled vs Interpreted,Compiled,1000000,72810546.54166667
Compiled vs Interpreted,Compiled,1000000,72826248.88461539
Compiled vs Interpreted,Compiled,1000000,72426107.53571428
Compiled vs Interpreted,Compiled,1000000,72423021.46666667
Compiled vs Interpreted,Compiled,1000000,72389987.5
Compiled vs Interpreted,Compiled,1000000,72494753.41176471
Compiled vs Interpreted,Compiled,1000000,72603486.27777778
Compiled vs Interpreted,Compiled,1000000,72459462.44736843
Compiled vs Interpreted,Compiled,1000000,72480440.825
Compiled vs Interpreted,Compiled,100000,6973803.380952381
Compiled vs Interpreted,Compiled,100000,6968208.452380952
Compiled vs Interpreted,Compiled,100000,7006338.968253968
Compiled vs Interpreted,Compiled,100000,6987931.642857143
Compiled vs Interpreted,Compiled,100000,7002886.295238095
Compiled vs Interpreted,Compiled,100000,6983425.968253968
Compiled vs Interpreted,Compiled,100000,7005902.5034013605
Compiled vs Interpreted,Compiled,100000,6991954.220238095
Compiled vs Interpreted,Compiled,100000,6992339.08994709
Compiled vs Interpreted,Compiled,100000,6995974.842857143
Compiled vs Interpreted,Compiled,100000,6997981.376623376
Compiled vs Interpreted,Compiled,100000,6982252.654761905
Compiled vs Interpreted,Compiled,100000,7005210.377289377
Compiled vs Interpreted,Compiled,100000,7002216.6122448975
Compiled vs Interpreted,Compiled,100000,7008354.930158731
Compiled vs Interpreted,Compiled,100000,6999583.318452381
Compiled vs Interpreted,Compiled,100000,6987905.350140056
Compiled vs Interpreted,Compiled,100000,6997756.841269841
Compiled vs Interpreted,Compiled,100000,6999255.275689223
Compiled vs Interpreted,Compiled,100000,7009763.392857143
Compiled vs Interpreted,Compiled,10000000,907749789.0
Compiled vs Interpreted,Compiled,10000000,928896738.5
Compiled vs Interpreted,Compiled,10000000,911650713.0
Compiled vs Interpreted,Compiled,10000000,929043820.5
Compiled vs Interpreted,Compiled,10000000,907124958.5
Compiled vs Interpreted,Compiled,10000000,901677858.0
Compiled vs Interpreted,Compiled,10000000,906262613.5
Compiled vs Interpreted,Compiled,10000000,902889949.5
Compiled vs Interpreted,Compiled,10000000,905005006.5
Compiled vs Interpreted,Compiled,10000000,906160242.0
Compiled vs Interpreted,Compiled,10000000,909225440.0
Compiled vs Interpreted,Compiled,10000000,909237680.5
Compiled vs Interpreted,Compiled,10000000,908605329.0
Compiled vs Interpreted,Compiled,10000000,906797258.0
Compiled vs Interpreted,Compiled,10000000,910476677.0
Compiled vs Interpreted,Compiled,10000000,905714624.5
Compiled vs Interpreted,Compiled,10000000,907795044.0
Compiled vs Interpreted,Compiled,10000000,908934157.5
Compiled vs Interpreted,Compiled,10000000,908545720.0
Compiled vs Interpreted,Compiled,10000000,903595098.5
Compiled vs Interpreted,Compiled,100000000,7622582157.0
Compiled vs Interpreted,Compiled,100000000,8940680555.0
Compiled vs Interpreted,Compiled,100000000,9050648057.0
